STATUS;FROM;TO
OK;9900;9920
OK;9920;9940
OK;9820;9840
OK;9940;9960
OK;9960;9980
OK;9880;9900
OK;9740;9760
OK;9980;10000
OK;10020;10040
OK;10040;10060
OK;10100;10120
OK;10000;10020
OK;10080;10100
OK;10060;10080
OK;10140;10160
OK;10180;10200
OK;10160;10180
OK;10240;10260
OK;10120;10140
OK;10260;10280
OK;10200;10220
OK;10280;10300
OK;10220;10240
OK;10340;10360
OK;10320;10340
OK;10360;10380
OK;10380;10400
OK;10400;10420
OK;10420;10440
OK;10300;10320
OK;10500;10520
OK;10440;10460
OK;10480;10500
OK;10540;10560
OK;10560;10580
OK;10580;10600
OK;10460;10480
OK;10520;10540
OK;10600;10620
OK;10620;10640
OK;10640;10660
OK;10700;10720
OK;10680;10700
OK;10720;10740
OK;10660;10680
OK;10740;10760
OK;10820;10840
OK;10780;10800
OK;10840;10860
OK;10760;10780
OK;10860;10880
OK;10920;10940
OK;10880;10900
OK;10900;10920
OK;10940;10960
OK;10800;10820
OK;10980;11000
OK;10960;10980
OK;15000;15020
OK;15020;15040
OK;15100;15120
OK;15040;15060
OK;15080;15100
OK;15120;15140
OK;15060;15080
OK;15140;15160
OK;15160;15180
OK;15180;15200
OK;15200;15220
OK;15220;15240
OK;15240;15260
OK;15260;15280
OK;15280;15300
OK;15320;15340
OK;15300;15320
OK;15360;15380
OK;15340;15360
OK;15380;15400
OK;15420;15440
OK;15400;15420
OK;15440;15460
OK;15460;15480
OK;15480;15500
OK;15500;15520
OK;15520;15540
OK;15540;15560
OK;15560;15580
OK;15580;15600
OK;15600;15620
OK;15680;15700
OK;15640;15660
OK;15620;15640
OK;15700;15720
OK;15720;15740
OK;15660;15680
OK;15780;15800
OK;15740;15760
OK;15760;15780
OK;15800;15820
OK;15820;15840
OK;15840;15860
OK;15860;15880
OK;15880;15900
OK;15900;15920
OK;15940;15960
OK;15920;15940
OK;15960;15980
OK;15980;16000
OK;11020;11040
OK;11060;11080
OK;11080;11100
OK;11040;11060
OK;11100;11120
OK;11120;11140
OK;11140;11160
OK;11000;11020
OK;11180;11200
OK;11160;11180
OK;11220;11240
KO;11200;11220
OK;11300;11320
OK;11240;11260
OK;11260;11280
OK;11280;11300
OK;11360;11380
OK;11340;11360
OK;11320;11340
OK;11440;11460
OK;11420;11440
OK;11380;11400
OK;11460;11480
OK;11480;11500
OK;11540;11560
OK;11500;11520
OK;11560;11580
OK;11600;11620
OK;11520;11540
OK;11580;11600
OK;11620;11640
OK;11400;11420
OK;11660;11680
OK;11640;11660
OK;11720;11740
OK;11700;11720
OK;11740;11760
OK;11780;11800
OK;11680;11700
OK;11760;11780
OK;11820;11840
OK;11800;11820
OK;11880;11900
OK;11860;11880
OK;11840;11860
OK;11940;11960
OK;11980;12000
OK;11900;11920
OK;11920;11940
OK;11960;11980
OK;16000;16020
OK;16040;16060
OK;16020;16040
OK;16060;16080
OK;16080;16100
OK;16100;16120
